date,ticker,close,trend_score,momentum_score,match_count,win_rate_90d
2026-07-22,CSPX.L,806.50,96,40,262,82.1
2026-07-22,QQQM,291.90,80,29,26,100.0
2026-07-23,CSPX.L,808.04,96,39,248,82.3
2026-07-23,QQQM,290.42,80,32,32,100.0
2026-07-24,CSPX.L,809.48,96,44,316,79.7
2026-07-24,QQQM,284.98,77,37,28,100.0
2026-07-25,CSPX.L,796.08,74,30,128,85.9
2026-07-25,QQQM,281.68,75,23,25,100.0
2026-07-26,QQQM,281.68,75,23,25,100.0
2026-07-26,CSPX.L,801.86,75,33,130,87.7
2026-07-28,QQQM,280.86,74,35,33,100.0
2026-07-28,CSPX.L,801.86,75,33,130,87.7
